,electorates,postcode
1512,,4222
1513,McPherson,4223
1514,McPherson,4224
1515,McPherson,4225
1516,"McPherson, Moncrieff",4226
1517,McPherson,4227
1518,McPherson,4228
1519,,4229
1520,,4230
1521,Wright,4270
1522,Wright,4271
1523,Wright,4272
1524,Wright,4275
1525,"Forde, Wright",4280
1526,Wright,4285
1527,Wright,4287
1528,"Oxley, Blair",4300
1529,"Oxley, Blair",4301
1530,Blair,4303
1531,Blair,4304
1532,"Blair, Wright",4305
1533,"Blair, Ryan, Maranoa, Wright",4306
1534,"Blair, Wright",4307
1535,Wright,4309
1536,Wright,4310
1537,"Blair, Wright",4311
1538,Blair,4312
1539,Blair,4313
1540,"Blair, Wright",4340
1541,Wright,4341
1542,"Blair, Wright",4342
1543,Wright,4343
1544,Wright,4344
1545,,4345
1546,Blair,4346
1547,Wright,4347
1548,Groom,4350
1549,"Groom, Maranoa, Wright",4352
1550,"Groom, Maranoa",4353
1551,"Groom, Maranoa",4354
1552,"Maranoa, Groom",4355
1553,Groom,4356
1554,Maranoa,4357
1555,"Groom, Maranoa",4358
1556,"Groom, Wright",4359
1557,"Groom, Maranoa",4360
1558,Maranoa,4361
1559,Maranoa,4362
1560,Groom,4363
1561,Groom,4364
1562,Maranoa,4365
1563,Maranoa,4370
1564,Maranoa,4371
1565,Maranoa,4372
1566,Maranoa,4373
1567,Maranoa,4374
1568,"New England, Maranoa",4375
1569,Maranoa,4376
1570,"Maranoa, New England",4377
1571,Maranoa,4378
1572,Maranoa,4380
1573,Maranoa,4381
1574,Maranoa,4382
1575,"New England, Maranoa",4383
1576,Maranoa,4384
1577,"Maranoa, New England",4385
1578,Maranoa,4387
1579,Maranoa,4388
1580,Maranoa,4390
1581,Groom,4400
1582,Groom,4401
1583,"Maranoa, Groom",4402
1584,Groom,4403
1585,"Groom, Maranoa",4404
1586,"Groom, Maranoa",4405
1587,Maranoa,4406
1588,"Groom, Maranoa",4407
1589,Maranoa,4408
1590,Maranoa,4410
1591,Maranoa,4411
1592,Maranoa,4412
1593,Maranoa,4413
1594,Maranoa,4415
1595,Maranoa,4416
1596,Maranoa,4417
1597,Maranoa,4418
1598,"Flynn, Maranoa",4419
1599,"Flynn, Maranoa",4420
1600,Maranoa,4421
1601,Maranoa,4422
1602,Maranoa,4423
1603,Maranoa,4424
1604,Maranoa,4425
1605,Maranoa,4426
1606,Maranoa,4427
1607,Maranoa,4428
1608,"Flynn, Maranoa",4454
1609,Maranoa,4455
1610,Maranoa,4461
1611,Maranoa,4462
1612,Maranoa,4465
1613,Maranoa,4467
1614,Maranoa,4468
1615,Maranoa,4470
1616,,4471
1617,Maranoa,4472
1618,Maranoa,4474
1619,Maranoa,4475
1620,Maranoa,4477
1621,Maranoa,4478
1622,Maranoa,4479
1623,Maranoa,4480
1624,Maranoa,4481
1625,Maranoa,4482
1626,Maranoa,4486
1627,Maranoa,4487
1628,Maranoa,4488
1629,Maranoa,4489
1630,Maranoa,4490
1631,Maranoa,4491
1632,Maranoa,4492
1633,Maranoa,4493
1634,Maranoa,4494
1635,Maranoa,4496
1636,Maranoa,4497
1637,Maranoa,4498
1638,Dickson,4500
1639,Dickson,4501
1640,Dickson,4502
1641,"Dickson, Longman, Petrie",4503
1642,"Longman, Petrie",4504
1643,"Longman, Petrie",4505
1644,Longman,4506
1645,Longman,4507
1646,Petrie,4508
1647,Petrie,4509
1648,Longman,4510
1649,Longman,4511
1650,Longman,4512
1651,"Longman, Blair",4514
1652,Blair,4515
1653,Longman,4516
